*******************************************************************************
Ephemeris / WWW_USER Sun Apr 23 09:14:48 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Moon (301)                      {source: DE431mx}
Center body name: Earth (399)                     {source: DE431mx}
Center-site name: Kitt Peak
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2020-Jan-08 00:00:00.0000 UT      
Step-size       : 60 minutes
*******************************************************************************
Target pole/equ : IAU_MOON                        {East-longitude +}
Target radii    : 1737.4 x 1737.4 x 1737.4 km     {Equator, meridian, pole}    
Center geodetic : 248.405300,31.9584502,2.0709438 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 248.405300,5418.25536,3357.6195 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE431mx}
Rel. light bend : Sun, EARTH                      {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.170421.p170713                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2017-APR-21. PREDICTS-> 2017-JUL-12
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
*************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0), Azi_(a-app), Elev_(a-app), L_Ap_Sid_Time,   Illu%,
*************************************************************************************************************************************
$$SOE
 2020-Jan-03 17:00, 2458852.208333333,*, , 19.20377,  1.77320,  61.7941,-34.3220, 16.4129142287,  55.250,
 2020-Jan-03 18:00, 2458852.250000000,*, , 19.77527,  1.97226,  71.9442,-22.9069, 17.4156521019,  55.737,
 2020-Jan-03 19:00, 2458852.291666667,*, , 20.30446,  2.17328,  80.3776,-10.8441, 18.4183899755,  56.190,
 2020-Jan-03 20:00, 2458852.333333333,*,m, 20.78633,  2.37600,  88.0432,  1.5452, 19.4211278497,  56.606,
 2020-Jan-03 21:00, 2458852.375000000,*,m, 21.21883,  2.57997,  95.6859, 14.0317, 20.4238657244,  56.982,
 2020-Jan-03 22:00, 2458852.416666667,*,m, 21.60311,  2.78456, 104.0795, 26.3870, 21.4266035997,  57.319,
 2020-Jan-03 23:00, 2458852.458333333,*,m, 21.94357,  2.98898, 114.3008, 38.2874, 22.4293414755,  57.621,
 2020-Jan-04 00:00, 2458852.500000000,*,m, 22.24766,  3.19235, 128.1466, 49.1379, 23.4320793519,  57.894,
 2020-Jan-04 01:00, 2458852.541666667,C,m, 22.52549,  3.39378, 148.4686, 57.6985,  0.4348172289,  58.144,
 2020-Jan-04 02:00, 2458852.583333333,A,m, 22.78910,  3.59246, 176.8797, 61.7003,  1.4375551065,  58.382,
 2020-Jan-04 03:00, 2458852.625000000, ,m, 23.05167,  3.78774, 206.6917, 59.2805,  2.4402929848,  58.618,
 2020-Jan-04 04:00, 2458852.666666667, ,m, 23.32646,  3.97919, 229.1653, 51.6691,  3.4430308636,  58.862,
 2020-Jan-04 05:00, 2458852.708333333, ,m, 23.62590,  4.16667, 244.4353, 41.3101,  4.4457687432,  59.124,
 2020-Jan-04 06:00, 2458852.750000000, ,m, 23.96066,  4.35035, 255.4907, 29.6981,  5.4485066235,  59.412,
 2020-Jan-04 07:00, 2458852.791666667, ,m, 24.33890,  4.53072, 264.4006, 17.5553,  6.4512445044,  59.733,
 2020-Jan-04 08:00, 2458852.833333333, ,m, 24.76581,  4.70852, 272.3910,  5.2644,  7.4539823862,  60.091,
 2020-Jan-04 09:00, 2458852.875000000, , , 25.24333,  4.88470, 280.2984, -6.9130,  8.4567202686,  60.488,
 2020-Jan-04 10:00, 2458852.916666667, , , 25.77017,  5.06038, 288.8667,-18.7249,  9.4594581517,  60.923,
 2020-Jan-04 11:00, 2458852.958333333, , , 26.34202,  5.23672, 298.9572,-29.8374, 10.4621960356,  61.392,
 2020-Jan-04 12:00, 2458853.000000000, , , 26.95186,  5.41489, 311.7089,-39.7124, 11.4649339204,  61.890,
 2020-Jan-04 13:00, 2458853.041666667, , , 27.59054,  5.59597, 328.4508,-47.4377, 12.4676718059,  62.410,
 2020-Jan-04 14:00, 2458853.083333333,N, , 28.24731,  5.78088, 349.6200,-51.6682, 13.4704096923,  62.944,
 2020-Jan-04 15:00, 2458853.125000000,*, , 28.91043,  5.97034,  12.6518,-51.2318, 14.4731475795,  63.482,
 2020-Jan-04 16:00, 2458853.166666667,*, , 29.56785,  6.16477,  33.0823,-46.2633, 15.4758854676,  64.016,
 2020-Jan-04 17:00, 2458853.208333333,*, , 30.20786,  6.36432,  48.9607,-38.0460, 16.4786233565,  64.536,
 2020-Jan-04 18:00, 2458853.250000000,*, , 30.81971,  6.56876,  61.0243,-27.8601, 17.4813612463,  65.035,
 2020-Jan-04 19:00, 2458853.291666667,*, , 31.39429,  6.77751,  70.5934,-16.5331, 18.4840991370,  65.504,
 2020-Jan-04 20:00, 2458853.333333333,*, , 31.92466,  6.98963,  78.7330, -4.5458, 19.4868370286,  65.939,
 2020-Jan-04 21:00, 2458853.375000000,*,m, 32.40657,  7.20383,  86.2410,  7.8058, 20.4895749212,  66.336,
 2020-Jan-04 22:00, 2458853.416666667,*,m, 32.83884,  7.41856,  93.8154, 20.3023, 21.4923128147,  66.694,
 2020-Jan-04 23:00, 2458853.458333333,*,m, 33.22357,  7.63208, 102.2715, 32.7201, 22.4950507091,  67.015,
 2020-Jan-05 00:00, 2458853.500000000,*,m, 33.56611,  7.84255, 112.8921, 44.7289, 23.4977886046,  67.302,
 2020-Jan-05 01:00, 2458853.541666667,C,m, 33.87484,  8.04824, 128.1286, 55.6623,  0.5005265011,  67.561,
 2020-Jan-05 02:00, 2458853.583333333,A,m, 34.16063,  8.24762, 152.4007, 63.9296,  1.5032643985,  67.801,
 2020-Jan-05 03:00, 2458853.625000000, ,m, 34.43614,  8.43953, 187.1601, 66.4179,  2.5060022970,  68.029,
 2020-Jan-05 04:00, 2458853.666666667, ,m, 34.71485,  8.62331, 219.0088, 61.5624,  3.5087401965,  68.257,
 2020-Jan-05 05:00, 2458853.708333333, ,m, 35.01010,  8.79884, 239.6093, 52.1437,  4.5114780970,  68.495,
 2020-Jan-05 06:00, 2458853.750000000, ,m, 35.33410,  8.96659, 252.9307, 40.8061,  5.5142159987,  68.751,
 2020-Jan-05 07:00, 2458853.791666667, ,m, 35.69702,  9.12759, 262.7237, 28.7262,  6.5169539014,  69.033,
 2020-Jan-05 08:00, 2458853.833333333, ,m, 36.10637,  9.28332, 270.9300, 16.4209,  7.5196918052,  69.348,
 2020-Jan-05 09:00, 2458853.875000000, ,m, 36.56650,  9.43563, 278.6226,  4.1809,  8.5224297101,  69.698,
 2020-Jan-05 10:00, 2458853.916666667, , , 37.07848,  9.58657, 286.5535, -7.7605,  9.5251676161,  70.084,
 2020-Jan-05 11:00, 2458853.958333333, , , 37.64010,  9.73827, 295.4277,-19.1372, 10.5279055232,  70.506,
 2020-Jan-05 12:00, 2458854.000000000, , , 38.24617,  9.89279, 306.0652,-29.5647, 11.5306434315,  70.959,
 2020-Jan-05 13:00, 2458854.041666667, , , 38.88894, 10.05202, 319.4491,-38.4307, 12.5333813410,  71.438,
 2020-Jan-05 14:00, 2458854.083333333,N, , 39.55860, 10.21754, 336.4002,-44.7920, 13.5361192516,  71.935,
 2020-Jan-05 15:00, 2458854.125000000,*, , 40.24388, 10.39056, 356.4633,-47.5039, 14.5388571634,  72.443,
 2020-Jan-05 16:00, 2458854.166666667,*, , 40.93270, 10.57183,  16.9584,-45.8860, 15.5415950764,  72.953,
 2020-Jan-05 17:00, 2458854.208333333,*, , 41.61284, 10.76161,  34.8011,-40.3578, 16.5443329905,  73.455,
 2020-Jan-05 18:00, 2458854.250000000,*, , 42.27256, 10.95960,  48.9703,-32.0255, 17.5470709059,  73.942,
 2020-Jan-05 19:00, 2458854.291666667,*, , 42.90130, 11.16498,  60.0874,-21.9116, 18.5498088225,  74.406,
 2020-Jan-05 20:00, 2458854.333333333,*, , 43.49029, 11.37635,  69.1365,-10.7024, 19.5525467403,  74.841,
 2020-Jan-05 21:00, 2458854.375000000,*,m, 44.03310, 11.59182,  76.9602,  1.1793, 20.5552846594,  75.241,
 2020-Jan-05 22:00, 2458854.416666667,*,m, 44.52617, 11.80906,  84.2430, 13.4612, 21.5580225797,  75.605,
 2020-Jan-05 23:00, 2458854.458333333,*,m, 44.96912, 12.02544,  91.6406, 25.9373, 22.5607605013,  75.933,
 2020-Jan-06 00:00, 2458854.500000000,*,m, 45.36492, 12.23818, 100.0004, 38.3974, 23.5634984242,  76.225,
 2020-Jan-06 01:00, 2458854.541666667,C,m, 45.71984, 12.44456, 110.8221, 50.5210,  0.5662363484,  76.486,
 2020-Jan-06 02:00, 2458854.583333333,A,m, 46.04312, 12.64210, 127.4442, 61.5917,  1.5689742738,  76.722,
